DATE,CSUSHPISA
1/1/1987,63.967
2/1/1987,64.426
3/1/1987,64.736
4/1/1987,65.135
5/1/1987,65.569
6/1/1987,66.075
7/1/1987,66.509
8/1/1987,66.938
9/1/1987,67.331
10/1/1987,67.74
11/1/1987,68.109
12/1/1987,68.507
1/1/1988,68.859
2/1/1988,69.263
3/1/1988,69.637
4/1/1988,69.974
5/1/1988,70.424
6/1/1988,70.887
7/1/1988,71.353
8/1/1988,71.799
9/1/1988,72.239
10/1/1988,72.635
11/1/1988,73.072
12/1/1988,73.464
1/1/1989,73.945
2/1/1989,74.381
3/1/1989,74.777
4/1/1989,75.086
5/1/1989,75.308
6/1/1989,75.481
7/1/1989,75.657
8/1/1989,75.835
9/1/1989,76.057
10/1/1989,76.285
11/1/1989,76.522
12/1/1989,76.706
1/1/1990,76.897
2/1/1990,77.053
3/1/1990,77.2
4/1/1990,77.278
5/1/1990,77.297
6/1/1990,77.257
7/1/1990,77.138
8/1/1990,77.008
9/1/1990,76.849
10/1/1990,76.7
11/1/1990,76.369
12/1/1990,76.183
1/1/1991,75.914
2/1/1991,75.734
3/1/1991,75.57
4/1/1991,75.566
5/1/1991,75.764
6/1/1991,75.992
7/1/1991,76.08
8/1/1991,76.109
9/1/1991,76.194
10/1/1991,76.071
11/1/1991,76.015
12/1/1991,76.057
1/1/1992,76.089
2/1/1992,76.158
3/1/1992,76.279
4/1/1992,76.347
5/1/1992,76.4
6/1/1992,76.335
7/1/1992,76.267
8/1/1992,76.234
9/1/1992,76.242
10/1/1992,76.379
11/1/1992,76.561
12/1/1992,76.676
1/1/1993,76.787
2/1/1993,76.841
3/1/1993,76.872
4/1/1993,76.94
5/1/1993,77.039
6/1/1993,77.246
7/1/1993,77.431
8/1/1993,77.616
9/1/1993,77.797
10/1/1993,77.945
11/1/1993,78.152
12/1/1993,78.329
1/1/1994,78.595
2/1/1994,78.73
3/1/1994,78.859
4/1/1994,78.99
5/1/1994,79.225
6/1/1994,79.426
7/1/1994,79.598
8/1/1994,79.784
9/1/1994,79.922
10/1/1994,80.068
11/1/1994,80.152
12/1/1994,80.298
1/1/1995,80.429
2/1/1995,80.53
3/1/1995,80.601
4/1/1995,80.664
5/1/1995,80.707
6/1/1995,80.789
7/1/1995,80.941
8/1/1995,81.115
9/1/1995,81.311
10/1/1995,81.486
11/1/1995,81.623
12/1/1995,81.74
1/1/1996,81.838
2/1/1996,81.957
3/1/1996,82.198
4/1/1996,82.425
5/1/1996,82.613
6/1/1996,82.756
7/1/1996,82.932
8/1/1996,83.09
9/1/1996,83.261
10/1/1996,83.381
11/1/1996,83.557
12/1/1996,83.725
1/1/1997,83.959
2/1/1997,84.184
3/1/1997,84.456
4/1/1997,84.626
5/1/1997,84.865
6/1/1997,85.084
7/1/1997,85.336
8/1/1997,85.577
9/1/1997,85.854
10/1/1997,86.15
11/1/1997,86.635
12/1/1997,87.097
1/1/1998,87.619
2/1/1998,88.007
3/1/1998,88.447
4/1/1998,88.883
5/1/1998,89.368
6/1/1998,89.848
7/1/1998,90.313
8/1/1998,90.789
9/1/1998,91.262
10/1/1998,91.721
11/1/1998,92.203
12/1/1998,92.716
1/1/1999,93.212
2/1/1999,93.675
3/1/1999,94.221
4/1/1999,94.789
5/1/1999,95.349
6/1/1999,95.979
7/1/1999,96.596
8/1/1999,97.224
9/1/1999,97.869
10/1/1999,98.529
11/1/1999,99.16
12/1/1999,99.849
1/1/2000,100.552
2/1/2000,101.339
3/1/2000,102.127
4/1/2000,102.922
5/1/2000,103.677
6/1/2000,104.424
7/1/2000,105.054
8/1/2000,105.768
9/1/2000,106.537
10/1/2000,107.381
11/1/2000,108.3
12/1/2000,109.138
1/1/2001,109.846
2/1/2001,110.501
3/1/2001,111.108
4/1/2001,111.65
5/1/2001,112.162
6/1/2001,112.795
7/1/2001,113.491
8/1/2001,114.167
9/1/2001,114.81
10/1/2001,115.308
11/1/2001,115.854
12/1/2001,116.451
